leben|жить|lebte|gelebt
wohnen|проживать|wohnte|gewohnt
stammen|быть родом, происходить|stammte|gestammt
sitzen*|сидеть|sass|gesessen
sich setzen|садиться|setzte sich|sich gesetzt
liegen*|лежать|lag|gelegen
sich legen|ложиться|legte sich|sich gelegt
schlafen*|спать|schlief|geschlafen
einbetten|укладывать спать|bettete ein|eingebettet
träumen|сниться|träumte|geträumt
stehen*|стоять|stand|gestanden
stellen|ставить|stellte|gestellt
lesen*|читать|las|gelesen
fernsehen*|смотреть телевизор|sah fern|ferngesehen
waschen|стирать*|wusch|gewaschen
baden|купаться|badete|gebadet
sich waschen*|мыться|wusch sich|sich gewaschen
sich kämmen|причесываться|kämmte sich|sich gekämmt
sich rasieren|бриться|rasierte sich|sich rasiert
sich parfümieren|надушиться духами|parfümierte sich|sich parfümiert
sich erfrischen|освежиться|erfrischte sich|sich erfrischt
massieren|делать массаж|massierte|massiert
frisieren|делать прическу|frisierte|frisiert
turnen|делать гимнастику|turnte|geturnt
frühstücken|завтракать|frühstückte|gefrühstückt
servieren|сервировать|servierte|serviert
kaufen|покупать|kaufte|gekauft
einkaufen|закупать, делать покупки|kaufte ein|eingekauft
wählen|выбирать|wählte|gewählt
bezahlen|оплачивать|bezahlte|bezahlt
sich einrichten|обустроиться в квартире|richtete sich ein|sich eingerichtet
renovieren|ремонтировать (квартиру)|renovierte|renoviert
reparieren|ремонтировать (технику)|reparierte|repariert
tapezieren|оклеивать обоями|tapezierte|tapeziert
kacheln|облицовывать кафелем|kachelte|gekachelt
möblieren|меблировать, обставлять квартиру|möblierte|möbliert
einbauen|встраивать|baute ein|eingebaut
kochen|готовить, варить|kochte|gekocht
braten*|жарить|briet|gebraten
backen*|печь|buk (backte)|gebacken
mahlen|молоть|mahlte|gemahlt
salzen|солить|salzte|gesalzt
pfeffern|перчить|pfefferte|gepfeffert
dünsten|тушить, пассеровать|dünstete|gedünstet
dämpfen|готовить на пару|dämpfte|gedämpft
einlegen|мариновать|legte ein|eingelegt
schnitzeln|шинковать|schnitzelte|geschnitzelt
grillen|готовить на гриле|grillte|gegrillt
frittieren|жарить во фритюре|frittierte|frittiert
anbrennen*|подгорать|brannte an|angebrannt
schneiden*|резать|schnitt|geschnitten
zerkleinern|измельчать|zerkleinerte|zerkleinert
pürieren|пюрировать|pürierte|püriert
mischen|смешивать, перемешивать|mischte|gemischt
einfrieren|заморозить|fror ein|eingefroren
auftauen|разморозить|taute auf|aufgetaut
abkühlen|остужать, охлаждать|kühlte ab|abgekühlt
essen*|есть|ass|gegessen
aufessen*|съесть без остатка|ass auf|aufgegessen
trinken*|пить|trank|getrunken
fressen*|жрать, поедать|frass|gefressen
sich ernähren|кормиться чем-л.|ernährte sich|sich ernährt
füttern|кормить|fütterte|gefüttert
verdauen|переваривать|verdaute|verdaut
abwaschen*|отмывать, мыть (посуду)|wusch ab|abgewaschen
abspülen|споласкивать|spülte ab|abgespült
stärken|крахмалить|stärkte|gestärkt
bügeln|гладить (белье)|bügelte|gebügelt
staubsaugen|чистить пылесосом|staubsaugte|staubsaugt
fegen|подметать|fegte|gefegt
aufräumen|прибираться|räumte auf|aufgeräumt
